,usage_total,usage_total,usage_total,age_days,age_days,age_days,since_update_days,since_update_days,since_update_days,usage_per_365,usage_per_365,usage_per_365,staleness_ratio,staleness_ratio,staleness_ratio,usage_total,usage_total,age_days,age_days,since_update_days,since_update_days,usage_per_365,usage_per_365,staleness_ratio,staleness_ratio
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,q25,q75,q25,q75,q25,q75,q25,q75,q25,q75
cluster,,,,,,,,,,,,,,,,,,,,,,,,,
0,2403.87,714.0,7077.64,313.07,270.0,195.77,223.16,111.0,217.69,4087.38,947.38,24695.21,0.64,0.61,0.26,346.0,1594.0,177.0,368.0,111.0,272.0,485.02,2206.48,0.42,0.91
1,1117.72,520.0,2463.38,1813.14,1781.0,548.31,1797.9,1777.0,527.54,241.21,110.45,534.81,0.99,1.0,0.02,394.0,873.0,1339.0,2244.0,1336.0,2239.0,82.56,186.01,1.0,1.0
2,37.68,20.0,48.33,775.89,708.0,413.39,766.94,706.0,419.39,24.42,11.79,33.44,0.97,0.99,0.06,8.0,48.0,453.0,1006.0,447.0,1000.0,2.93,29.27,0.99,1.0
3,35.86,7.0,75.53,3421.34,3382.0,367.4,2677.34,2679.0,23.39,3.8,0.74,7.59,0.79,0.79,0.08,0.0,35.0,3107.0,3727.0,2679.0,2679.0,0.0,3.78,0.72,0.86
4,50.82,32.0,52.76,297.44,288.0,180.75,129.38,111.0,72.77,91.74,47.39,232.93,0.45,0.42,0.17,16.0,65.0,205.0,355.0,111.0,113.0,21.62,106.81,0.34,0.55
