K,Inertia (subset),"DBI (↓, subset)","CH (↑, subset)"
2,312219.8125,1.1647362497857323,60303.28172988468
3,231250.71875,1.0175240226434654,58132.535866014725
4,193865.6875,1.0832978964511724,52911.95077603786
5,138022.921875,0.8573711630845191,66657.91193243273
6,112271.078125,0.8410701159467865,69196.76700350641
7,93534.234375,0.8498721605177947,72742.83041379976
8,81561.5859375,0.8533459887045582,73301.90968308253
